ResponseId,DatabaseHaveWorkedWith
2,Dynamodb
2,MongoDB
2,PostgreSQL
3,Firebase Realtime Database
10,MongoDB
10,MySQL
10,PostgreSQL
10,Redis
11,Elasticsearch
11,MongoDB
11,PostgreSQL
11,SQLite
12,Microsoft Access
12,Microsoft SQL Server
12,PostgreSQL
12,SQLite
19,Microsoft Access
19,Microsoft SQL Server
19,MySQL
19,SQLite
23,Redis
23,SQLite
24,MySQL
24,PostgreSQL
24,SQLite
27,Microsoft SQL Server
27,PostgreSQL
27,Presto
29,MariaDB
29,Microsoft SQL Server
29,MySQL
30,Microsoft SQL Server
30,MongoDB
30,SQLite
33,Elasticsearch
33,MySQL
33,Redis
36,Microsoft SQL Server
37,H2
37,MySQL
39,MongoDB
39,PostgreSQL
41,PostgreSQL
41,Redis
41,SQLite
44,Microsoft SQL Server
45,Cosmos DB
45,Elasticsearch
45,Microsoft SQL Server
45,MongoDB
45,Redis
46,BigQuery
46,DuckDB
46,Microsoft SQL Server
46,MongoDB
46,MySQL
46,PostgreSQL
46,SQLite
52,BigQuery
52,Clickhouse
52,Cloud Firestore
52,Cosmos DB
52,Microsoft SQL Server
52,MongoDB
52,MySQL
52,PostgreSQL
52,SQLite
52,Supabase
53,Cassandra
53,MySQL
53,Oracle
53,PostgreSQL
53,Supabase
55,Cloud Firestore
55,MariaDB
55,MySQL
55,Redis
55,SQLite
62,Microsoft SQL Server
65,PostgreSQL
72,Cosmos DB
72,Elasticsearch
72,Microsoft SQL Server
72,Redis
75,DuckDB
75,InfluxDB
75,MariaDB
75,PostgreSQL
75,SQLite
78,MariaDB
78,Microsoft SQL Server
78,MySQL
78,PostgreSQL
78,SQLite
79,Elasticsearch
79,PostgreSQL
87,Cosmos DB
87,Microsoft SQL Server
87,PostgreSQL
87,Redis
111,Microsoft SQL Server
111,SQLite
113,MongoDB
113,MySQL
113,SQLite
114,BigQuery
114,Dynamodb
114,Elasticsearch
114,IBM DB2
114,MariaDB
114,Microsoft Access
114,Microsoft SQL Server
114,MongoDB
114,MySQL
114,Neo4J
114,Oracle
114,PostgreSQL
114,SQLite
119,BigQuery
119,Elasticsearch
119,Microsoft SQL Server
119,PostgreSQL
121,BigQuery
122,Cloud Firestore
122,Cosmos DB
122,Microsoft SQL Server
125,Cloud Firestore
125,Dynamodb
125,Elasticsearch
125,MySQL
125,Redis
127,BigQuery
127,Elasticsearch
127,PostgreSQL
129,Microsoft SQL Server
129,SQLite
130,Elasticsearch
130,Microsoft SQL Server
132,PostgreSQL
134,Elasticsearch
134,MariaDB
134,Microsoft SQL Server
134,MySQL
134,PostgreSQL
134,Redis
134,SQLite
138,MongoDB
138,PostgreSQL
138,Redis
140,MariaDB
140,MongoDB
140,MySQL
142,MariaDB
142,MySQL
150,MySQL
150,PostgreSQL
150,SQLite
150,Supabase
151,MariaDB
151,MongoDB
151,MySQL
151,PostgreSQL
156,MongoDB
156,MySQL
156,Neo4J
156,PostgreSQL
158,Microsoft SQL Server
159,MongoDB
159,MySQL
159,PostgreSQL
159,Redis
163,MongoDB
163,PostgreSQL
166,Microsoft SQL Server
173,Elasticsearch
173,MariaDB
173,MySQL
173,Redis
176,Microsoft SQL Server
176,MySQL
176,PostgreSQL
181,BigQuery
181,Dynamodb
181,Elasticsearch
181,MongoDB
181,MySQL
181,PostgreSQL
181,Redis
182,Microsoft Access
182,Microsoft SQL Server
182,MySQL
182,Oracle
182,PostgreSQL
183,Cosmos DB
183,Microsoft SQL Server
183,PostgreSQL
183,Redis
185,Cassandra
185,PostgreSQL
185,SQLite
189,Dynamodb
189,PostgreSQL
189,SQLite
190,Cosmos DB
190,Elasticsearch
190,Microsoft SQL Server
190,MongoDB
190,MySQL
190,PostgreSQL
190,Redis
190,Solr
190,SQLite
191,Microsoft SQL Server
192,Cassandra
192,Dynamodb
192,Redis
192,SQLite
196,Cloud Firestore
196,Firebase Realtime Database
196,H2
196,MySQL
196,Redis
200,Elasticsearch
200,H2
200,MySQL
205,Cosmos DB
205,Dynamodb
205,MySQL
205,PostgreSQL
205,SQLite
208,Cloud Firestore
208,Dynamodb
208,MongoDB
208,PostgreSQL
208,SQLite
209,Elasticsearch
209,MariaDB
209,MongoDB
209,PostgreSQL
209,SQLite
210,Databricks SQL
