ResponseId,DatabaseWantToWorkWith
2,PostgreSQL
3,Firebase Realtime Database
10,MongoDB
10,MySQL
10,PostgreSQL
10,Redis
11,Elasticsearch
11,MongoDB
11,PostgreSQL
11,SQLite
12,Microsoft SQL Server
12,PostgreSQL
12,SQLite
19,Microsoft SQL Server
19,SQLite
23,Redis
23,SQLite
24,MySQL
24,PostgreSQL
24,SQLite
27,PostgreSQL
27,Presto
29,MariaDB
29,Microsoft SQL Server
29,MySQL
30,Cosmos DB
30,Dynamodb
30,Elasticsearch
30,Firebase Realtime Database
30,MariaDB
30,Microsoft SQL Server
30,MongoDB
30,PostgreSQL
30,SQLite
33,Elasticsearch
33,MongoDB
33,MySQL
33,Redis
36,Microsoft SQL Server
37,H2
37,MySQL
37,Neo4J
39,MongoDB
39,PostgreSQL
41,PostgreSQL
41,Redis
41,SQLite
44,Microsoft SQL Server
45,Cloud Firestore
45,Cockroachdb
45,Cosmos DB
45,Couch DB
45,Elasticsearch
45,Firebase Realtime Database
45,Microsoft SQL Server
45,MongoDB
45,MySQL
45,PostgreSQL
45,RavenDB
45,Redis
46,BigQuery
46,Databricks SQL
46,DuckDB
46,PostgreSQL
46,Redis
46,SQLite
52,BigQuery
52,Clickhouse
52,Cloud Firestore
52,Microsoft SQL Server
52,MongoDB
52,PostgreSQL
52,Redis
52,Snowflake
52,SQLite
52,Supabase
53,MySQL
53,Oracle
53,PostgreSQL
53,Redis
53,Supabase
55,Cloud Firestore
55,MariaDB
55,SQLite
62,Microsoft SQL Server
65,PostgreSQL
72,Cosmos DB
72,Microsoft SQL Server
72,Redis
75,DuckDB
75,PostgreSQL
75,SQLite
78,MariaDB
78,MySQL
78,PostgreSQL
79,Dynamodb
79,PostgreSQL
79,Redis
87,Cosmos DB
87,Microsoft SQL Server
87,Redis
111,Firebase Realtime Database
111,MariaDB
111,Microsoft SQL Server
111,MongoDB
111,MySQL
111,SQLite
113,MongoDB
113,MySQL
113,SQLite
114,Microsoft SQL Server
114,MongoDB
114,MySQL
114,Neo4J
114,PostgreSQL
114,SQLite
119,BigQuery
119,Elasticsearch
119,Microsoft SQL Server
119,PostgreSQL
119,Redis
121,BigQuery
122,Cloud Firestore
122,Cosmos DB
122,Microsoft SQL Server
122,Redis
125,Cloud Firestore
125,Dynamodb
125,Redis
127,Dynamodb
127,PostgreSQL
129,Cosmos DB
129,Firebase Realtime Database
129,Firebird
129,Microsoft SQL Server
130,Elasticsearch
130,Microsoft SQL Server
130,MongoDB
130,Redis
132,PostgreSQL
134,MariaDB
134,Microsoft SQL Server
134,MySQL
134,Redis
134,SQLite
138,Datomic
138,Neo4J
138,PostgreSQL
138,Redis
140,MariaDB
140,MongoDB
140,MySQL
140,PostgreSQL
142,IBM DB2
142,MariaDB
142,MySQL
150,PostgreSQL
150,Supabase
151,MariaDB
151,MongoDB
151,MySQL
151,PostgreSQL
156,MongoDB
156,MySQL
156,PostgreSQL
158,Elasticsearch
158,Microsoft SQL Server
158,PostgreSQL
159,Cloud Firestore
159,Elasticsearch
159,Firebase Realtime Database
159,MongoDB
159,MySQL
159,PostgreSQL
159,Redis
163,MongoDB
163,PostgreSQL
163,Redis
166,Microsoft SQL Server
173,Elasticsearch
173,MariaDB
173,MongoDB
173,MySQL
173,PostgreSQL
173,Redis
173,SQLite
176,Microsoft SQL Server
181,BigQuery
181,PostgreSQL
181,Redis
182,Microsoft SQL Server
182,PostgreSQL
183,Cosmos DB
