ResponseId,LanguageHaveWorkedWith
2,Bash/Shell (all shells)
2,Go
2,HTML/CSS
2,Java
2,JavaScript
2,Python
2,TypeScript
3,C#
10,HTML/CSS
10,JavaScript
10,TypeScript
11,JavaScript
11,Python
11,Ruby
12,C
12,C#
12,C++
12,Delphi
12,HTML/CSS
12,Java
12,JavaScript
12,PowerShell
12,SQL
12,TypeScript
12,VBA
12,Visual Basic (.Net)
19,C#
19,HTML/CSS
19,JavaScript
19,PHP
19,Python
19,SQL
23,Bash/Shell (all shells)
23,C#
23,F#
23,JavaScript
23,PowerShell
23,SQL
24,HTML/CSS
24,JavaScript
24,PHP
24,Python
24,SQL
27,C#
27,HTML/CSS
27,JavaScript
27,Python
27,Scala
27,SQL
29,Bash/Shell (all shells)
29,C#
29,HTML/CSS
29,JavaScript
29,PHP
29,PowerShell
29,Python
29,SQL
30,C#
30,HTML/CSS
30,JavaScript
30,SQL
33,Bash/Shell (all shells)
33,JavaScript
33,PHP
33,SQL
33,TypeScript
36,Bash/Shell (all shells)
36,C#
36,C++
36,HTML/CSS
36,PowerShell
36,Python
36,SQL
36,VBA
37,Bash/Shell (all shells)
37,C#
37,Java
37,OCaml
37,SQL
39,HTML/CSS
39,JavaScript
39,Python
39,Ruby
39,SQL
39,TypeScript
41,HTML/CSS
41,JavaScript
41,Ruby
41,SQL
44,Assembly
44,C#
44,C++
44,HTML/CSS
44,JavaScript
44,MATLAB
44,Python
44,SQL
44,VBA
45,C#
45,HTML/CSS
45,JavaScript
45,SQL
45,TypeScript
46,C#
46,Dart
46,Fortran
46,Go
46,Julia
46,Python
46,SQL
46,VBA
52,Bash/Shell (all shells)
52,C#
52,Go
52,HTML/CSS
52,JavaScript
52,PowerShell
52,Python
52,Rust
52,SQL
52,TypeScript
52,VBA
53,C
53,HTML/CSS
53,Java
53,JavaScript
53,PowerShell
53,SQL
53,TypeScript
55,C++
55,HTML/CSS
55,JavaScript
55,Kotlin
55,Lua
55,PowerShell
55,Python
55,SQL
55,TypeScript
62,C#
62,JavaScript
62,SQL
62,TypeScript
65,Java
72,C#
72,PowerShell
72,SQL
75,Ada
75,Assembly
75,Bash/Shell (all shells)
75,C
75,C++
75,Clojure
75,Crystal
75,Dart
75,Elixir
75,Erlang
75,Fortran
75,Go
75,Groovy
75,Haskell
75,HTML/CSS
75,Java
75,JavaScript
75,Julia
75,Kotlin
75,Lisp
75,Lua
75,OCaml
75,Perl
75,PowerShell
75,Python
75,R
75,Rust
75,Scala
75,SQL
75,TypeScript
75,Zig
78,Bash/Shell (all shells)
78,C++
78,HTML/CSS
78,JavaScript
78,Python
78,SQL
78,TypeScript
79,Bash/Shell (all shells)
79,HTML/CSS
79,Java
79,JavaScript
79,Python
79,SQL
87,Bash/Shell (all shells)
87,C#
87,HTML/CSS
87,JavaScript
87,PowerShell
87,Python
87,SQL
87,TypeScript
111,C
111,C#
111,HTML/CSS
111,Java
111,Python
111,SQL
113,Bash/Shell (all shells)
113,HTML/CSS
113,JavaScript
113,Kotlin
113,TypeScript
114,C
114,C#
114,C++
114,Elixir
114,Erlang
114,Go
114,HTML/CSS
114,Java
114,JavaScript
114,PHP
114,Python
114,R
114,Ruby
114,SQL
114,TypeScript
114,VBA
114,Visual Basic (.Net)
119,C#
119,Go
119,Python
119,SQL
121,Bash/Shell (all shells)
121,HTML/CSS
121,JavaScript
121,SQL
122,C#
122,HTML/CSS
122,JavaScript
122,PowerShell
122,Python
122,SQL
122,TypeScript
125,HTML/CSS
125,Java
125,JavaScript
125,Python
125,TypeScript
127,Go
127,Python
129,C#
129,C++
129,HTML/CSS
129,JavaScript
129,PowerShell
129,SQL
130,Bash/Shell (all shells)
130,C#
130,HTML/CSS
130,JavaScript
130,SQL
132,JavaScript
132,TypeScript
134,Bash/Shell (all shells)
134,C#
134,HTML/CSS
134,Java
134,JavaScript
134,PHP
134,PowerShell
134,Python
134,Rust
134,SQL
138,Bash/Shell (all shells)
138,HTML/CSS
138,Java
138,JavaScript
138,TypeScript
140,Bash/Shell (all shells)
140,HTML/CSS
140,Java
140,JavaScript
140,PHP
140,PowerShell
140,Python
140,SQL
140,TypeScript
142,C
142,HTML/CSS
142,Java
142,JavaScript
142,PHP
142,SQL
142,TypeScript
150,Bash/Shell (all shells)
150,HTML/CSS
150,JavaScript
150,PHP
150,Python
150,SQL
150,TypeScript
151,C#
151,HTML/CSS
151,JavaScript
151,SQL
151,TypeScript
156,Bash/Shell (all shells)
156,HTML/CSS
156,Java
156,JavaScript
156,PHP
156,PowerShell
156,Python
156,SQL
156,TypeScript
158,C#
158,HTML/CSS
158,JavaScript
158,SQL
159,HTML/CSS
159,JavaScript
159,SQL
159,TypeScript
163,Lua
163,Python
163,TypeScript
166,C#
166,HTML/CSS
166,JavaScript
166,SQL
166,TypeScript
173,HTML/CSS
173,JavaScript
173,PHP
173,TypeScript
176,C#
176,Go
176,Groovy
176,HTML/CSS
176,Java
176,JavaScript
176,SQL
181,Bash/Shell (all shells)
181,C++
181,HTML/CSS
181,Java
181,JavaScript
181,Prolog
181,Python
181,R
181,SQL
181,TypeScript
182,C#
182,HTML/CSS
182,JavaScript
182,PHP
182,PowerShell
182,SQL
183,C#
183,HTML/CSS
183,JavaScript
183,SQL
183,TypeScript
183,Visual Basic (.Net)
185,Bash/Shell (all shells)
185,HTML/CSS
185,JavaScript
185,Kotlin
185,Python
185,Rust
185,SQL
185,TypeScript
189,Go
189,HTML/CSS
189,JavaScript
189,SQL
189,TypeScript
190,C#
190,HTML/CSS
190,JavaScript
190,PHP
190,SQL
190,TypeScript
190,Visual Basic (.Net)
191,C#
192,Go
192,HTML/CSS
192,Java
192,JavaScript
192,PowerShell
192,SQL
196,Dart
196,HTML/CSS
196,Java
196,JavaScript
196,SQL
196,TypeScript
200,HTML/CSS
200,Java
200,JavaScript
200,SQL
205,C#
205,HTML/CSS
205,JavaScript
205,Lua
205,PowerShell
205,SQL
205,TypeScript
205,VBA
205,Visual Basic (.Net)
208,Bash/Shell (all shells)
208,Go
208,HTML/CSS
208,JavaScript
208,PowerShell
208,Python
208,SQL
208,TypeScript
209,JavaScript
209,PHP
209,Python
209,Rust
210,Bash/Shell (all shells)
210,C
210,C#
210,Go
210,HTML/CSS
210,JavaScript
210,Python
210,SQL
210,VBA
210,Visual Basic (.Net)
211,Bash/Shell (all shells)
211,JavaScript
211,Python
211,Rust
212,JavaScript
212,PHP
212,SQL
215,C#
215,Go
215,JavaScript
215,PowerShell
215,TypeScript
216,C#
216,C++
216,F#
216,JavaScript
216,PowerShell
216,SQL
216,TypeScript
218,C#
218,HTML/CSS
218,JavaScript
218,SQL
218,TypeScript
223,Bash/Shell (all shells)
223,HTML/CSS
223,JavaScript
223,Python
223,SQL
226,Bash/Shell (all shells)
226,Go
226,HTML/CSS
226,Rust
226,TypeScript
230,HTML/CSS
230,JavaScript
230,Ruby
230,SQL
230,TypeScript
235,Bash/Shell (all shells)
235,C
235,C++
235,Dart
235,Go
235,HTML/CSS
235,Java
235,JavaScript
235,SQL
235,TypeScript
238,C#
238,HTML/CSS
238,JavaScript
238,SQL
238,TypeScript
242,JavaScript
242,PHP
242,SQL
243,Bash/Shell (all shells)
243,C#
243,C++
243,HTML/CSS
243,Java
243,JavaScript
243,PHP
243,PowerShell
243,Python
243,SQL
243,TypeScript
254,Assembly
254,C
254,C#
254,HTML/CSS
254,Java
254,JavaScript
254,MATLAB
254,PowerShell
254,SQL
254,TypeScript
254,Visual Basic (.Net)
256,Bash/Shell (all shells)
256,Java
256,Python
256,SQL
262,HTML/CSS
262,JavaScript
262,TypeScript
263,C
263,C#
263,Dart
263,HTML/CSS
263,JavaScript
263,PHP
263,PowerShell
263,Python
263,Rust
263,SQL
263,TypeScript
274,C#
274,C++
274,Java
274,Lua
274,PowerShell
274,Python
274,SQL
275,JavaScript
275,Python
275,SQL
275,TypeScript
276,C#
276,JavaScript
276,PowerShell
276,SQL
276,TypeScript
280,Bash/Shell (all shells)
280,C#
280,HTML/CSS
280,Java
280,JavaScript
280,Kotlin
280,PowerShell
280,SQL
281,C#
281,HTML/CSS
281,JavaScript
281,PHP
281,Python
281,SQL
284,Bash/Shell (all shells)
284,C#
284,HTML/CSS
284,Java
284,JavaScript
284,Lua
284,PHP
284,Python
284,SQL
284,TypeScript
285,Bash/Shell (all shells)
285,HTML/CSS
285,JavaScript
285,Python
285,SQL
285,TypeScript
293,Bash/Shell (all shells)
299,Java
299,Python
300,C#
300,HTML/CSS
300,JavaScript
300,PHP
300,Python
300,SQL
311,Go
311,JavaScript
311,Lua
311,PHP
311,SQL
315,Bash/Shell (all shells)
315,HTML/CSS
315,JavaScript
315,SQL
315,TypeScript
318,Go
318,JavaScript
318,Python
318,TypeScript
320,Java
320,JavaScript
320,Rust
320,Scala
320,TypeScript
324,Go
324,HTML/CSS
324,JavaScript
324,TypeScript
326,Elixir
326,HTML/CSS
326,JavaScript
326,PHP
331,Bash/Shell (all shells)
331,C#
331,HTML/CSS
331,JavaScript
331,Rust
331,SQL
331,TypeScript
333,C#
333,Delphi
333,Go
333,SQL
341,HTML/CSS
341,JavaScript
341,PHP
341,Python
341,SQL
341,TypeScript
342,Bash/Shell (all shells)
342,C
342,C++
342,Go
342,Groovy
342,HTML/CSS
342,Java
342,JavaScript
342,Kotlin
342,Lua
342,Perl
342,PowerShell
342,Python
342,Ruby
342,Rust
342,SQL
342,TypeScript
347,C#
347,Java
347,JavaScript
347,Python
347,SQL
351,Bash/Shell (all shells)
351,HTML/CSS
351,JavaScript
351,PHP
351,SQL
352,JavaScript
352,Solidity
352,TypeScript
353,C
353,C#
353,C++
353,HTML/CSS
353,JavaScript
353,PowerShell
353,Python
353,SQL
353,TypeScript
353,Visual Basic (.Net)
355,Bash/Shell (all shells)
355,Groovy
355,Java
355,JavaScript
355,Python
355,SQL
355,TypeScript
358,C
358,C++
358,HTML/CSS
358,Java
358,JavaScript
358,Perl
358,PHP
358,Python
358,R
358,Ruby
358,SQL
359,C++
359,HTML/CSS
359,JavaScript
359,PHP
360,Bash/Shell (all shells)
360,C
360,C#
360,C++
360,HTML/CSS
360,Java
360,JavaScript
360,Kotlin
360,Objective-C
360,PHP
360,PowerShell
360,Python
360,Ruby
360,SQL
360,Swift
360,TypeScript
360,VBA
360,Visual Basic (.Net)
367,HTML/CSS
367,JavaScript
367,PHP
367,TypeScript
372,HTML/CSS
372,Java
372,JavaScript
373,C#
373,Kotlin
373,Swift
373,TypeScript
378,C#
378,JavaScript
378,Ruby
380,JavaScript
380,Julia
380,Python
380,SQL
380,TypeScript
385,C#
385,Go
385,HTML/CSS
385,JavaScript
385,PowerShell
385,Python
385,SQL
385,TypeScript
386,Python
389,HTML/CSS
389,JavaScript
389,Lua
389,TypeScript
391,HTML/CSS
391,JavaScript
391,Ruby
391,TypeScript
393,C#
393,HTML/CSS
393,Java
393,JavaScript
393,MicroPython
393,Python
393,TypeScript
395,JavaScript
395,TypeScript
399,Bash/Shell (all shells)
399,C#
399,HTML/CSS
399,JavaScript
399,PowerShell
399,SQL
399,TypeScript
400,Assembly
400,C#
400,C++
400,Go
400,HTML/CSS
400,Java
400,JavaScript
400,Kotlin
400,PHP
400,SQL
408,Bash/Shell (all shells)
408,C++
408,Go
408,HTML/CSS
408,Java
408,JavaScript
408,Kotlin
408,PowerShell
408,Python
408,Rust
408,Scala
408,SQL
408,TypeScript
411,Bash/Shell (all shells)
411,C
411,C#
411,C++
411,HTML/CSS
411,Java
411,JavaScript
411,MATLAB
411,Perl
411,Prolog
411,Python
411,R
411,TypeScript
412,Ada
412,Assembly
412,Bash/Shell (all shells)
412,C
412,C#
412,C++
412,Dart
412,Delphi
412,HTML/CSS
412,Java
412,JavaScript
412,MATLAB
412,Perl
412,PHP
412,PowerShell
412,Python
412,SQL
412,VBA
412,Visual Basic (.Net)
413,Bash/Shell (all shells)
413,C
413,GDScript
413,Go
413,HTML/CSS
413,JavaScript
413,Lua
413,Python
413,Rust
413,SQL
413,TypeScript
417,Bash/Shell (all shells)
417,Elixir
417,JavaScript
417,TypeScript
419,Bash/Shell (all shells)
419,Groovy
419,HTML/CSS
419,Java
419,JavaScript
419,PHP
419,Python
419,SQL
419,TypeScript
421,Go
421,Java
421,Prolog
421,Python
430,Bash/Shell (all shells)
430,HTML/CSS
430,JavaScript
430,PHP
430,PowerShell
430,SQL
430,TypeScript
432,Bash/Shell (all shells)
432,C#
432,C++
432,Go
432,HTML/CSS
432,JavaScript
432,PowerShell
432,SQL
433,C#
433,Go
433,HTML/CSS
433,JavaScript
433,SQL
433,TypeScript
434,C#
434,HTML/CSS
434,JavaScript
444,Bash/Shell (all shells)
444,C#
444,HTML/CSS
444,PowerShell
444,Python
444,Rust
444,SQL
444,TypeScript
445,HTML/CSS
445,Java
445,JavaScript
445,Kotlin
445,SQL
450,Bash/Shell (all shells)
450,C#
450,Dart
450,Go
450,HTML/CSS
450,JavaScript
450,Kotlin
450,PHP
