ResponseId,LanguageWantToWorkWith
2,Bash/Shell (all shells)
2,Go
2,HTML/CSS
2,Java
2,JavaScript
2,Kotlin
2,Python
2,TypeScript
3,C#
10,HTML/CSS
10,JavaScript
10,TypeScript
11,C#
11,Crystal
11,Java
11,JavaScript
11,Python
11,Ruby
12,C#
12,HTML/CSS
12,JavaScript
12,PowerShell
12,Rust
12,SQL
12,TypeScript
19,C#
19,HTML/CSS
19,JavaScript
19,SQL
23,Bash/Shell (all shells)
23,C#
23,F#
23,Go
24,HTML/CSS
24,JavaScript
24,PHP
24,Python
24,Rust
24,SQL
27,C#
27,JavaScript
27,Python
27,Scala
27,SQL
29,Bash/Shell (all shells)
29,C#
29,HTML/CSS
29,JavaScript
29,PHP
29,PowerShell
29,Python
29,SQL
30,C#
30,HTML/CSS
30,JavaScript
30,Kotlin
30,SQL
30,TypeScript
33,Bash/Shell (all shells)
33,C#
33,JavaScript
33,PHP
33,Python
33,SQL
33,TypeScript
36,Bash/Shell (all shells)
36,C#
36,HTML/CSS
36,Python
36,SQL
37,Bash/Shell (all shells)
37,Java
37,SQL
39,HTML/CSS
39,JavaScript
39,Python
39,Ruby
39,SQL
39,TypeScript
41,Elixir
41,Go
41,HTML/CSS
41,Ruby
41,Rust
41,SQL
44,Assembly
44,C#
44,C++
44,HTML/CSS
44,JavaScript
44,Python
44,SQL
45,C#
45,HTML/CSS
45,JavaScript
45,SQL
45,TypeScript
46,Dart
46,Go
46,Python
46,Rust
46,SQL
52,Bash/Shell (all shells)
52,C#
52,Go
52,HTML/CSS
52,JavaScript
52,Lua
52,Rust
52,SQL
52,TypeScript
53,Go
53,HTML/CSS
53,Java
53,JavaScript
53,PowerShell
53,SQL
53,TypeScript
55,JavaScript
55,Lua
55,PHP
55,Python
55,Rust
55,TypeScript
62,C#
62,JavaScript
62,SQL
62,TypeScript
65,Java
72,C#
72,JavaScript
72,PowerShell
72,SQL
72,TypeScript
75,Assembly
75,Bash/Shell (all shells)
75,C++
75,Clojure
75,Elixir
75,Erlang
75,Fortran
75,Java
75,JavaScript
75,Lua
75,OCaml
75,Python
75,R
75,Rust
75,Scala
75,Zig
78,Bash/Shell (all shells)
78,C++
78,Dart
78,Python
78,SQL
78,TypeScript
79,Bash/Shell (all shells)
79,HTML/CSS
79,Java
79,Kotlin
79,Perl
79,Python
87,Bash/Shell (all shells)
87,C#
87,Go
87,JavaScript
87,PowerShell
87,Python
87,Rust
87,SQL
87,TypeScript
111,C
111,C#
111,HTML/CSS
111,Java
111,Kotlin
111,Python
111,SQL
111,Swift
111,TypeScript
113,Bash/Shell (all shells)
113,HTML/CSS
113,JavaScript
113,TypeScript
114,Python
114,R
114,SQL
119,C#
119,Go
119,Python
119,SQL
121,Bash/Shell (all shells)
121,C
121,C#
121,C++
121,HTML/CSS
121,JavaScript
121,SQL
122,C#
122,HTML/CSS
122,JavaScript
122,PowerShell
122,Python
122,R
122,SQL
122,Swift
122,TypeScript
125,C#
125,HTML/CSS
125,JavaScript
125,Python
125,TypeScript
127,Go
127,Python
129,C#
129,HTML/CSS
129,JavaScript
129,PowerShell
129,Python
129,SQL
129,TypeScript
130,C#
130,HTML/CSS
130,JavaScript
130,Python
130,SQL
132,JavaScript
132,TypeScript
134,Bash/Shell (all shells)
134,C#
134,HTML/CSS
134,Java
134,Python
134,SQL
138,Bash/Shell (all shells)
138,Clojure
138,Kotlin
138,TypeScript
140,Bash/Shell (all shells)
140,HTML/CSS
140,JavaScript
140,PHP
140,PowerShell
140,Python
140,SQL
140,TypeScript
142,HTML/CSS
142,JavaScript
142,Kotlin
142,PHP
142,SQL
142,TypeScript
150,Bash/Shell (all shells)
150,HTML/CSS
150,JavaScript
150,Python
150,Rust
150,SQL
151,C#
151,C++
151,HTML/CSS
151,JavaScript
151,Python
151,TypeScript
156,Bash/Shell (all shells)
156,HTML/CSS
156,Java
156,JavaScript
156,PHP
156,PowerShell
156,Python
156,Rust
156,SQL
156,TypeScript
158,Assembly
158,Bash/Shell (all shells)
158,C
158,C#
158,C++
158,Go
158,HTML/CSS
158,Python
158,Rust
158,Solidity
158,SQL
158,Zig
159,Dart
159,HTML/CSS
159,JavaScript
159,Kotlin
159,Rust
159,Solidity
159,SQL
159,Swift
159,TypeScript
163,Rust
163,TypeScript
166,C#
166,HTML/CSS
166,JavaScript
166,SQL
166,TypeScript
173,C#
173,Go
173,HTML/CSS
173,PHP
173,TypeScript
176,C#
176,HTML/CSS
176,JavaScript
176,SQL
176,TypeScript
181,Bash/Shell (all shells)
181,Java
181,JavaScript
181,Python
181,SQL
181,TypeScript
182,C#
182,HTML/CSS
182,JavaScript
182,PHP
182,PowerShell
182,SQL
183,C#
183,TypeScript
185,Rust
185,SQL
189,Dart
189,Go
189,TypeScript
190,C#
190,SQL
190,TypeScript
191,C#
191,HTML/CSS
191,JavaScript
191,Python
192,C#
192,C++
192,Go
192,Java
192,JavaScript
192,PowerShell
192,Rust
192,SQL
196,Dart
196,HTML/CSS
196,Java
196,JavaScript
196,PHP
196,Python
196,SQL
196,TypeScript
200,HTML/CSS
200,Java
200,JavaScript
200,SQL
205,Clojure
205,Haskell
205,HTML/CSS
205,JavaScript
205,Lua
205,Python
205,Rust
205,SQL
205,TypeScript
208,Bash/Shell (all shells)
208,Go
208,HTML/CSS
208,PowerShell
208,TypeScript
209,JavaScript
209,Rust
210,Go
210,HTML/CSS
210,JavaScript
210,Python
210,SQL
211,Bash/Shell (all shells)
211,JavaScript
211,Python
212,Go
212,JavaScript
212,PHP
212,SQL
215,Elixir
215,Go
215,JavaScript
215,Kotlin
215,TypeScript
216,C#
216,SQL
216,TypeScript
218,C#
218,Solidity
218,TypeScript
223,Bash/Shell (all shells)
223,C++
223,JavaScript
223,Python
223,SQL
223,TypeScript
226,Bash/Shell (all shells)
226,Go
226,HTML/CSS
226,TypeScript
230,TypeScript
235,Bash/Shell (all shells)
235,Go
235,Java
235,JavaScript
235,Rust
235,SQL
235,TypeScript
238,C#
238,HTML/CSS
238,JavaScript
238,SQL
238,TypeScript
242,JavaScript
242,PHP
242,SQL
243,Bash/Shell (all shells)
243,C
243,HTML/CSS
243,Java
243,JavaScript
243,PHP
243,PowerShell
243,Python
243,SQL
243,TypeScript
254,C#
254,HTML/CSS
254,JavaScript
254,PowerShell
254,SQL
254,TypeScript
256,Bash/Shell (all shells)
256,Go
256,Python
256,Rust
262,HTML/CSS
262,TypeScript
263,Bash/Shell (all shells)
263,C
263,C#
263,Dart
263,HTML/CSS
263,JavaScript
263,PHP
263,PowerShell
263,Python
263,Rust
263,SQL
263,TypeScript
274,C#
274,Java
274,PowerShell
274,Python
274,Rust
275,SQL
275,TypeScript
276,C#
276,JavaScript
276,PowerShell
276,SQL
276,TypeScript
280,C#
280,HTML/CSS
280,Java
280,JavaScript
280,Kotlin
280,Python
280,SQL
281,Bash/Shell (all shells)
281,C#
281,Python
281,SQL
284,Elixir
284,Go
284,HTML/CSS
284,Lua
284,Python
284,Rust
284,SQL
284,TypeScript
284,Zig
285,Go
285,HTML/CSS
285,JavaScript
285,Python
285,Rust
285,SQL
285,TypeScript
293,Bash/Shell (all shells)
293,Perl
293,Python
293,SQL
299,C
299,C++
299,Python
300,C#
300,HTML/CSS
300,JavaScript
300,PHP
300,Python
300,SQL
311,Go
311,PHP
311,SQL
315,Bash/Shell (all shells)
315,HTML/CSS
315,JavaScript
315,SQL
315,TypeScript
318,Go
318,JavaScript
318,Python
318,SQL
318,TypeScript
320,JavaScript
320,Rust
320,TypeScript
324,Go
324,HTML/CSS
324,JavaScript
324,TypeScript
326,Elixir
326,HTML/CSS
326,JavaScript
326,PHP
331,Bash/Shell (all shells)
331,C#
331,HTML/CSS
331,Rust
331,SQL
331,TypeScript
333,C#
333,Delphi
333,Go
333,SQL
341,HTML/CSS
341,JavaScript
341,PHP
341,Python
341,SQL
341,TypeScript
342,Bash/Shell (all shells)
342,C#
342,Crystal
342,Go
342,Java
342,Kotlin
342,Python
342,Rust
342,SQL
342,TypeScript
347,Java
347,Python
347,SQL
351,Assembly
351,Bash/Shell (all shells)
351,C#
351,Go
351,HTML/CSS
351,MicroPython
351,PHP
351,Python
351,Rust
351,SQL
351,TypeScript
352,JavaScript
352,Solidity
352,TypeScript
353,C
353,C#
353,C++
353,HTML/CSS
353,JavaScript
353,PowerShell
353,Python
353,TypeScript
353,Visual Basic (.Net)
355,Bash/Shell (all shells)
355,Go
355,Groovy
355,Java
355,JavaScript
355,Kotlin
355,Python
355,SQL
355,TypeScript
358,C++
358,Clojure
358,Haskell
358,HTML/CSS
358,JavaScript
358,Lisp
358,Objective-C
358,Prolog
358,Python
358,Ruby
358,SQL
358,Swift
359,C#
359,C++
359,HTML/CSS
359,Java
359,JavaScript
359,PHP
359,Python
359,Ruby
359,Rust
359,Visual Basic (.Net)
360,C#
360,HTML/CSS
360,PowerShell
360,Python
360,Rust
360,SQL
360,TypeScript
367,JavaScript
367,TypeScript
372,Java
372,JavaScript
373,C#
373,Kotlin
373,Ruby
378,JavaScript
378,Ruby
380,Go
380,JavaScript
380,Python
380,Rust
380,SQL
380,TypeScript
385,C#
385,F#
385,Go
385,HTML/CSS
385,PowerShell
385,Python
385,Rust
385,SQL
385,TypeScript
386,Python
386,Rust
386,Scala
389,Python
389,Solidity
389,TypeScript
391,HTML/CSS
391,JavaScript
391,Ruby
391,Rust
391,TypeScript
393,HTML/CSS
393,JavaScript
393,MicroPython
393,Python
393,TypeScript
395,JavaScript
395,Python
395,TypeScript
399,C#
399,HTML/CSS
399,JavaScript
399,SQL
399,TypeScript
400,Go
400,HTML/CSS
400,JavaScript
400,SQL
408,Bash/Shell (all shells)
408,C
408,Go
408,HTML/CSS
408,Java
408,JavaScript
408,Kotlin
408,PowerShell
408,Python
408,SQL
408,TypeScript
411,Bash/Shell (all shells)
411,HTML/CSS
411,JavaScript
412,Bash/Shell (all shells)
412,C
412,C++
412,Dart
412,Delphi
412,HTML/CSS
412,Java
412,JavaScript
412,PHP
412,Python
412,R
412,SQL
413,Bash/Shell (all shells)
413,Go
413,HTML/CSS
413,JavaScript
413,Rust
413,SQL
413,TypeScript
417,Bash/Shell (all shells)
417,Elixir
417,Rust
417,Zig
419,Bash/Shell (all shells)
419,Groovy
419,HTML/CSS
419,Java
419,JavaScript
419,PHP
419,Python
419,Rust
419,SQL
419,TypeScript
421,Go
421,Python
430,Bash/Shell (all shells)
430,HTML/CSS
430,JavaScript
430,PHP
430,SQL
432,Bash/Shell (all shells)
432,C#
432,C++
432,Go
432,HTML/CSS
432,JavaScript
432,PowerShell
432,SQL
433,Go
433,SQL
434,C#
434,JavaScript
434,PowerShell
434,TypeScript
444,Bash/Shell (all shells)
444,F#
444,HTML/CSS
444,PowerShell
444,Rust
444,TypeScript
445,HTML/CSS
445,Java
445,JavaScript
445,Kotlin
445,SQL
450,Bash/Shell (all shells)
450,Dart
450,Go
450,HTML/CSS
450,JavaScript
450,Kotlin
450,Python
450,R
450,Rust
450,Swift
450,TypeScript
452,Delphi
452,HTML/CSS
452,JavaScript
452,PHP
452,SQL
453,C#
453,HTML/CSS
453,JavaScript
453,PHP
453,Python
453,SQL
453,Swift
453,TypeScript
453,Visual Basic (.Net)
454,Bash/Shell (all shells)
454,HTML/CSS
454,Java
454,JavaScript
454,SQL
464,Ada
464,C++
464,HTML/CSS
464,JavaScript
464,Kotlin
464,SQL
464,Swift
464,TypeScript
466,Python
469,JavaScript
469,Python
469,Rust
469,SQL
469,TypeScript
471,Bash/Shell (all shells)
471,HTML/CSS
471,Java
471,TypeScript
475,Bash/Shell (all shells)
475,C
475,C#
475,C++
475,Go
475,HTML/CSS
475,Java
475,JavaScript
475,Julia
475,Python
475,SQL
475,TypeScript
480,C
480,C++
480,Java
480,JavaScript
480,Python
484,Elixir
484,Go
484,HTML/CSS
484,JavaScript
484,SQL
484,TypeScript
486,JavaScript
486,Python
486,TypeScript
489,HTML/CSS
489,JavaScript
489,Python
489,TypeScript
492,HTML/CSS
492,JavaScript
492,TypeScript
493,HTML/CSS
493,Java
493,JavaScript
493,Kotlin
493,Rust
493,SQL
493,Swift
493,TypeScript
494,Go
494,JavaScript
494,TypeScript
495,Bash/Shell (all shells)
495,HTML/CSS
495,Java
495,JavaScript
495,Perl
495,Python
495,SQL
497,Bash/Shell (all shells)
497,C
497,C++
497,JavaScript
497,Lua
497,Python
497,Rust
497,Zig
499,C#
499,HTML/CSS
499,JavaScript
499,SQL
499,TypeScript
500,GDScript
500,Go
500,JavaScript
500,Lua
500,Python
500,Rust
502,C#
502,Go
502,Rust
506,Bash/Shell (all shells)
506,Java
506,JavaScript
506,Kotlin
506,Python
506,Ruby
506,Rust
506,SQL
506,TypeScript
507,C#
507,C++
507,HTML/CSS
507,JavaScript
507,Kotlin
507,Perl
507,PHP
507,Python
507,Rust
507,SQL
507,TypeScript
509,C#
509,HTML/CSS
509,SQL
509,TypeScript
511,Bash/Shell (all shells)
511,C#
