ResponseId,PlatformWantToWorkWith
2,Amazon Web Services (AWS)
2,Heroku
2,Netlify
3,Google Cloud
10,Amazon Web Services (AWS)
10,Digital Ocean
10,Firebase
10,Vercel
11,Google Cloud
12,Cloudflare
19,Microsoft Azure
23,Amazon Web Services (AWS)
23,Cloudflare
23,Microsoft Azure
24,Amazon Web Services (AWS)
27,Amazon Web Services (AWS)
29,Amazon Web Services (AWS)
29,Colocation
29,Hetzner
29,Microsoft Azure
29,VMware
30,Amazon Web Services (AWS)
30,Firebase
30,Microsoft Azure
33,Amazon Web Services (AWS)
36,Microsoft Azure
37,Google Cloud
37,Oracle Cloud Infrastructure (OCI)
39,Amazon Web Services (AWS)
39,Heroku
41,Fly.io
44,Microsoft Azure
45,Firebase
45,Microsoft Azure
46,Databricks
46,Firebase
46,Google Cloud
46,Heroku
52,Amazon Web Services (AWS)
52,Cloudflare
52,Digital Ocean
52,Firebase
52,Fly.io
52,Google Cloud
52,Microsoft Azure
52,Oracle Cloud Infrastructure (OCI)
52,Supabase
52,Vercel
53,Amazon Web Services (AWS)
53,Cloudflare
53,Oracle Cloud Infrastructure (OCI)
53,Supabase
55,Cloudflare
62,Microsoft Azure
65,Google Cloud
72,Microsoft Azure
75,Cloudflare
75,Digital Ocean
78,Digital Ocean
78,Vercel
78,Vultr
79,Amazon Web Services (AWS)
79,Cloudflare
79,Fly.io
87,Microsoft Azure
111,Amazon Web Services (AWS)
111,Google Cloud
111,Microsoft Azure
113,Amazon Web Services (AWS)
113,Netlify
114,Amazon Web Services (AWS)
114,Google Cloud
114,Microsoft Azure
119,Amazon Web Services (AWS)
119,Google Cloud
121,Cloudflare
121,Google Cloud
122,Amazon Web Services (AWS)
122,Google Cloud
122,Microsoft Azure
125,Digital Ocean
125,Firebase
125,Netlify
127,Amazon Web Services (AWS)
127,Google Cloud
127,Microsoft Azure
129,Firebase
129,Microsoft Azure
130,Microsoft Azure
132,Digital Ocean
132,Vercel
134,Cloudflare
134,Hetzner
134,Microsoft Azure
134,Oracle Cloud Infrastructure (OCI)
134,OVH
138,Amazon Web Services (AWS)
138,Vercel
140,Google Cloud
142,Cloudflare
142,OVH
150,Supabase
151,Amazon Web Services (AWS)
151,Microsoft Azure
156,Amazon Web Services (AWS)
156,Google Cloud
156,Managed Hosting
158,"Linode, now Akamai"
158,Microsoft Azure
158,Supabase
158,VMware
159,Amazon Web Services (AWS)
159,Microsoft Azure
163,Amazon Web Services (AWS)
163,Cloudflare
166,Microsoft Azure
173,Amazon Web Services (AWS)
173,Cloudflare
173,Google Cloud
176,Microsoft Azure
181,Amazon Web Services (AWS)
181,Google Cloud
182,Cloudflare
182,Managed Hosting
183,Microsoft Azure
185,Cloudflare
185,Hetzner
185,Oracle Cloud Infrastructure (OCI)
189,Amazon Web Services (AWS)
189,Vercel
190,Microsoft Azure
191,Amazon Web Services (AWS)
191,Microsoft Azure
192,Amazon Web Services (AWS)
196,Amazon Web Services (AWS)
196,Cloudflare
196,Digital Ocean
196,Firebase
196,Google Cloud
196,Microsoft Azure
196,Vercel
200,Vultr
205,Amazon Web Services (AWS)
208,Amazon Web Services (AWS)
208,Cloudflare
208,Digital Ocean
208,Microsoft Azure
208,Vercel
209,OVH
210,Amazon Web Services (AWS)
210,Databricks
210,Microsoft Azure
211,OVH
212,Amazon Web Services (AWS)
212,Heroku
215,Digital Ocean
216,Microsoft Azure
218,Microsoft Azure
223,OVH
226,Hetzner
230,Amazon Web Services (AWS)
235,Firebase
235,Google Cloud
238,Microsoft Azure
242,VMware
243,Amazon Web Services (AWS)
243,Digital Ocean
243,Firebase
243,Vercel
254,Amazon Web Services (AWS)
256,Amazon Web Services (AWS)
262,Vercel
263,Hetzner
263,Microsoft Azure
274,Google Cloud
274,Microsoft Azure
274,VMware
275,Amazon Web Services (AWS)
275,Netlify
275,Vercel
276,Digital Ocean
276,Microsoft Azure
276,Oracle Cloud Infrastructure (OCI)
280,Amazon Web Services (AWS)
281,Google Cloud
284,Firebase
284,Microsoft Azure
284,Supabase
285,Digital Ocean
285,Fly.io
285,Hetzner
285,Supabase
293,Amazon Web Services (AWS)
293,Firebase
293,Google Cloud
293,OpenShift
293,OpenStack
293,VMware
299,Cloudflare
299,"Linode, now Akamai"
300,Cloudflare
300,Microsoft Azure
311,Amazon Web Services (AWS)
315,Google Cloud
315,Heroku
315,Microsoft Azure
318,Amazon Web Services (AWS)
318,Cloudflare
318,Netlify
320,Amazon Web Services (AWS)
324,Google Cloud
324,Vercel
326,Amazon Web Services (AWS)
331,Hetzner
331,Netlify
331,Vercel
333,Amazon Web Services (AWS)
341,Amazon Web Services (AWS)
341,Google Cloud
342,Amazon Web Services (AWS)
342,Google Cloud
347,Amazon Web Services (AWS)
351,Amazon Web Services (AWS)
351,Cloudflare
351,Firebase
351,Google Cloud
351,OpenStack
352,Amazon Web Services (AWS)
352,Microsoft Azure
353,Amazon Web Services (AWS)
353,Microsoft Azure
355,Amazon Web Services (AWS)
358,Amazon Web Services (AWS)
358,Heroku
359,Amazon Web Services (AWS)
359,Cloudflare
359,Digital Ocean
359,Firebase
359,Google Cloud
359,"Linode, now Akamai"
359,Microsoft Azure
359,VMware
360,Amazon Web Services (AWS)
360,Cloudflare
360,Google Cloud
360,Microsoft Azure
367,Amazon Web Services (AWS)
372,Amazon Web Services (AWS)
373,Amazon Web Services (AWS)
373,Cloudflare
378,Microsoft Azure
380,Amazon Web Services (AWS)
380,Cloudflare
380,Google Cloud
380,Hetzner
385,Cloudflare
385,Digital Ocean
385,Google Cloud
385,Microsoft Azure
386,Amazon Web Services (AWS)
386,Google Cloud
389,Cloudflare
389,Google Cloud
389,Vercel
391,Heroku
391,Hetzner
393,Amazon Web Services (AWS)
395,Amazon Web Services (AWS)
395,Cloudflare
395,Firebase
395,Google Cloud
395,IBM Cloud Or Watson
395,Microsoft Azure
395,OpenShift
395,OpenStack
395,Supabase
395,Vercel
395,VMware
399,Amazon Web Services (AWS)
399,Google Cloud
399,Microsoft Azure
400,Digital Ocean
400,Google Cloud
408,Amazon Web Services (AWS)
408,Cloudflare
408,Fly.io
408,Hetzner
408,Oracle Cloud Infrastructure (OCI)
411,Amazon Web Services (AWS)
412,Amazon Web Services (AWS)
412,Google Cloud
412,Microsoft Azure
412,VMware
413,Amazon Web Services (AWS)
413,Netlify
413,Supabase
417,Amazon Web Services (AWS)
417,Fly.io
419,Amazon Web Services (AWS)
419,Cloudflare
419,Colocation
419,Digital Ocean
419,Firebase
419,Google Cloud
419,Microsoft Azure
421,Amazon Web Services (AWS)
421,Cloudflare
421,Digital Ocean
421,Heroku
421,Hetzner
430,Heroku
430,VMware
432,Amazon Web Services (AWS)
